Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
Previous RL,3obstacles_10,sokoban-7-1_3obstacles_10,5.433588027954102,OK,8079,264,9077,272,4937,1,730,1,333,,0,186
DQN Agent 400e,3obstacles_2,sokoban-7-1_3obstacles_2,69.82652640342712,OK,28643,332,32393,337,69327,1,3588,1,1134,,0,163
DQN Agent 1000e,3obstacles_2,sokoban-7-1_3obstacles_2,5.280439853668213,OK,7711,360,8702,360,4838,1,995,1,295,,0,141
Previous RL,3obstacles_2,sokoban-7-1_3obstacles_2,3.97487211227417,OK,6130,348,6871,359,3504,1,558,1,291,,0,168
DQN Agent 400e,3obstacles_3,sokoban-7-1_3obstacles_3,15.240984916687012,OK,17570,298,19802,305,14782,1,2106,1,653,,0,152
DQN Agent 1000e,3obstacles_3,sokoban-7-1_3obstacles_3,55.829503297805786,OK,27780,214,31634,214,55367,1,3755,1,1082,,0,151
Previous RL,3obstacles_3,sokoban-7-1_3obstacles_3,4.440457344055176,OK,7398,258,8311,261,3954,1,687,1,324,,0,145
DQN Agent 400e,3obstacles_4,sokoban-7-1_3obstacles_4,15.878764629364014,OK,20301,236,22673,239,15411,1,2275,1,740,,0,151
DQN Agent 1000e,3obstacles_4,sokoban-7-1_3obstacles_4,1.2444591522216797,OK,1620,260,1795,261,783,1,171,1,59,,0,161
Previous RL,3obstacles_4,sokoban-7-1_3obstacles_4,1.3446226119995117,OK,2363,122,2601,123,923,1,169,1,79,,0,154
DQN Agent 400e,3obstacles_5,sokoban-7-1_3obstacles_5,43.899781227111816,OK,26401,510,29865,519,43417,1,3285,1,1010,,0,153
DQN Agent 1000e,3obstacles_5,sokoban-7-1_3obstacles_5,5.796543121337891,OK,9109,506,10319,509,5333,1,1207,1,344,,0,161
Previous RL,3obstacles_5,sokoban-7-1_3obstacles_5,2.716887950897217,OK,5396,196,6016,201,2286,1,418,1,181,,0,153
DQN Agent 400e,3obstacles_6,sokoban-7-1_3obstacles_6,1.5484411716461182,OK,3306,276,3663,285,1082,1,342,1,118,,0,165
DQN Agent 1000e,3obstacles_6,sokoban-7-1_3obstacles_6,20.491591691970825,OK,17543,332,19897,332,20017,1,2282,1,600,,0,159
Previous RL,3obstacles_6,sokoban-7-1_3obstacles_6,3.5566725730895996,OK,6655,314,7461,322,3100,1,560,1,240,,0,161
DQN Agent 400e,3obstacles_7,sokoban-7-1_3obstacles_7,9.626656532287598,OK,13639,570,15270,582,9152,1,1552,1,481,,0,153
DQN Agent 1000e,3obstacles_7,sokoban-7-1_3obstacles_7,82.26175618171692,OK,31405,740,36029,755,81748,1,4471,1,1224,,0,147
Previous RL,3obstacles_7,sokoban-7-1_3obstacles_7,2.108175039291382,OK,4236,174,4758,178,1665,1,373,1,142,,0,156
DQN Agent 400e,3obstacles_8,sokoban-7-1_3obstacles_8,60.88415288925171,OK,28612,376,32402,382,60397,1,3578,1,1052,,0,164
DQN Agent 1000e,3obstacles_8,sokoban-7-1_3obstacles_8,1.5736370086669922,OK,2314,228,2586,228,1138,1,263,1,81,,0,157
Previous RL,3obstacles_8,sokoban-7-1_3obstacles_8,4.462103366851807,OK,7135,292,8011,299,4024,1,621,1,273,,0,147
DQN Agent 400e,3obstacles_9,sokoban-7-1_3obstacles_9,3.864553213119507,OK,7121,234,7980,241,3370,1,879,1,260,,0,147
DQN Agent 1000e,3obstacles_9,sokoban-7-1_3obstacles_9,4.745452880859375,OK,6142,132,7006,133,4268,1,830,1,226,,0,159
Previous RL,3obstacles_9,sokoban-7-1_3obstacles_9,1.038923978805542,OK,1026,216,1142,224,595,1,86,1,40,,0,156
DQN Agent 400e,4obstacles_1,sokoban-7-1_4obstacles_1,1.2400412559509277,OK,2992,114,3245,114,813,1,190,1,122,,0,156
DQN Agent 1000e,4obstacles_1,sokoban-7-1_4obstacles_1,6.158215284347534,OK,9723,290,11017,293,5690,1,1286,1,379,,0,165
Previous RL,4obstacles_1,sokoban-7-1_4obstacles_1,3.0867416858673096,OK,3328,118,3696,120,2624,1,242,1,104,,0,167
DQN Agent 400e,4obstacles_10,sokoban-7-1_4obstacles_10,31.81888508796692,OK,20990,520,23650,531,31335,1,2514,1,752,,0,151
DQN Agent 1000e,4obstacles_10,sokoban-7-1_4obstacles_10,24.222326278686523,OK,20550,296,23297,297,23730,1,2685,1,767,,0,151
Previous RL,4obstacles_10,sokoban-7-1_4obstacles_10,44.25146460533142,OK,21308,290,24320,293,43768,1,2249,1,1010,,0,163
DQN Agent 400e,4obstacles_2,sokoban-7-1_4obstacles_2,14.408607959747314,OK,14012,574,15875,586,13926,1,1835,1,479,,0,168
DQN Agent 1000e,4obstacles_2,sokoban-7-1_4obstacles_2,21.91434669494629,OK,14659,504,16596,510,21458,1,1877,1,509,,0,136
Previous RL,4obstacles_2,sokoban-7-1_4obstacles_2,6.296014070510864,OK,9127,518,10276,535,5847,1,835,1,349,,0,147
DQN Agent 400e,4obstacles_3,sokoban-7-1_4obstacles_3,6.1975016593933105,OK,7156,0,8213,0,5665,0,1135,0,356,,0,165
DQN Agent 1000e,4obstacles_3,sokoban-7-1_4obstacles_3,5.427587509155273,OK,7156,0,8213,0,4857,0,1180,0,341,,0,158
Previous RL,4obstacles_3,sokoban-7-1_4obstacles_3,6.33918309211731,OK,7156,0,8213,0,5938,0,815,0,435,,0,149
DQN Agent 400e,4obstacles_4,sokoban-7-1_4obstacles_4,2.4543025493621826,OK,4971,82,5515,82,1901,1,521,1,153,,0,162
DQN Agent 1000e,4obstacles_4,sokoban-7-1_4obstacles_4,7.311759948730469,OK,9813,190,11155,190,5488,1,1287,1,346,,0,164
Previous RL,4obstacles_4,sokoban-7-1_4obstacles_4,0.9775400161743164,OK,1098,122,1194,122,534,1,68,1,40,,0,157
DQN Agent 400e,4obstacles_5,sokoban-7-1_4obstacles_5,3.1717498302459717,OK,8280,128,9174,128,2696,1,817,1,290,,0,159
DQN Agent 1000e,4obstacles_5,sokoban-7-1_4obstacles_5,5.793339252471924,OK,7512,208,8498,208,5352,1,938,1,273,,0,147
Previous RL,4obstacles_5,sokoban-7-1_4obstacles_5,6.621907472610474,OK,9268,220,10482,226,6175,1,855,1,331,,0,155
DQN Agent 400e,4obstacles_6,sokoban-7-1_4obstacles_6,44.20227265357971,OK,24746,472,27968,478,43707,1,3012,1,970,,0,154
DQN Agent 1000e,4obstacles_6,sokoban-7-1_4obstacles_6,9.251713752746582,OK,9751,442,10955,447,8757,1,1145,1,366,,0,159
Previous RL,4obstacles_6,sokoban-7-1_4obstacles_6,32.41877007484436,OK,18557,596,21094,614,31932,1,1937,1,979,,0,164
DQN Agent 400e,4obstacles_7,sokoban-7-1_4obstacles_7,12.828343868255615,OK,15974,268,17992,270,12348,1,1969,1,590,,0,161
DQN Agent 1000e,4obstacles_7,sokoban-7-1_4obstacles_7,15.296892166137695,OK,15947,544,18037,548,14810,1,2058,1,599,,0,153
Previous RL,4obstacles_7,sokoban-7-1_4obstacles_7,2.5074408054351807,OK,5110,188,5718,190,2062,1,434,1,220,,0,151
DQN Agent 400e,4obstacles_8,sokoban-7-1_4obstacles_8,1.6757779121398926,OK,6431,148,6971,148,1220,1,391,1,231,,0,164
DQN Agent 1000e,4obstacles_8,sokoban-7-1_4obstacles_8,19.75081157684326,OK,18500,398,21003,401,19258,1,2405,1,738,,0,157
Previous RL,4obstacles_8,sokoban-7-1_4obstacles_8,4.988363027572632,OK,8153,120,9172,121,4533,1,740,1,333,,0,164
DQN Agent 400e,4obstacles_9,sokoban-7-1_4obstacles_9,4.298670530319214,OK,11602,304,12818,304,3797,1,1097,1,444,,0,169
DQN Agent 1000e,4obstacles_9,sokoban-7-1_4obstacles_9,11.044186115264893,OK,13035,244,14789,244,10555,1,1752,1,520,,0,169
Previous RL,4obstacles_9,sokoban-7-1_4obstacles_9,59.12669634819031,OK,22236,458,25430,464,58644,1,2415,1,1162,,0,150
